Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61028413,In Memoriam,Alice  Winn,"Winn, Alice",,"=""0241567823""","=""9780241567821""",5,4.53,Viking,Hardcover,368,2023,2023,2023/08/02,2023/07/23,books-from-alex,books-from-alex (#14),read,,,,1,0
36110556,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""1530139570""","=""9781530139576""",4,4.08,CreateSpace Independent Publishing Platform,Paperback,26,2016,1892,2023/07/26,2023/07/18,,,read,,,,1,0
57143963,This Is Going to Hurt,Adam Kay,"Kay, Adam",,"=""1509858636""","=""9781509858637""",5,4.40,Pan Macmillan,Paperback,280,2018,2017,2023/07/25,2022/09/09,books-from-harry,books-from-harry (#2),read,,,,1,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",4,4.46,Simon & Schuster,ebook,320,2022,2022,2023/03/05,2022/09/05,,,read,,,,1,0
45868683,Intercepts,T.J. Payne,"Payne, T.J.",,"=""""","=""""",0,4.13,Tunnel Falls,Kindle Edition,327,2019,2019,,2023/07/20,to-read,to-read (#29),to-read,,,,0,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",0,4.20,Ballantine Books,Hardcover,368,2019,2019,,2023/07/14,to-read,to-read (#28),to-read,,,,0,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,4.02,Broadway Paperbacks,Paperback,254,2007,2006,,2023/07/13,to-read,to-read (#27),to-read,,,,0,0
5163858,The Lovely Bones,Alice Sebold,"Sebold, Alice",,"=""0330457721""","=""9780330457729""",4,3.86,Picador,Paperback,323,2009,2002,2023/07/09,2023/06/26,,,read,,,,1,0
60052679,The Maid,Nita Prose,"Prose, Nita",Lauren Ambrose,"=""""","=""9780008435752""",2,3.76,HarperCollins,Audiobook,9,2022,2022,2023/07/09,2023/07/09,,,read,,,,1,0
80830635,Don't Let Her Stay,Nicola Sanders,"Sanders, Nicola",,"=""""","=""""",0,3.95,,Kindle Edition,288,2023,2023,,2023/07/09,to-read,to-read (#26),to-read,,,,0,0
58977601,On a Quiet Street,Seraphina Nova Glass,"Glass, Seraphina Nova",,"=""0369717058""","=""9780369717054""",0,4.14,Graydon House,Kindle Edition,302,2022,2022,,2023/07/06,to-read,to-read (#25),to-read,,,,0,0
69045069,People Who Knew Me,Kim Hooper,"Hooper, Kim",,"=""1662086512""","=""9781662086519""",4,3.93,Dreamscape Media,Audio CD,,2021,2016,2023/07/06,2023/07/05,,,read,,,,1,0
18302455,"The Circle (The Circle, #1)",Dave Eggers,"Eggers, Dave",,"=""""","=""""",0,3.43,Knopf,Hardcover,493,2013,2013,,2023/07/01,to-read,to-read (#24),to-read,,,,0,0
25603442,Animals,Emma Jane Unsworth,"Unsworth, Emma Jane",,"=""1782112138""","=""9781782112136""",4,3.48,Canongate Books,Mass Market Paperback,247,2015,2014,2022/12/04,2022/09/13,books-from-alex,books-from-alex (#7),read,,,,1,0
8427679,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0753827034""","=""9780753827031""",4,3.95,Phoenix,Paperback,424,2010,2009,2023/06/26,2023/06/18,,,read,,,,1,0
50042494,Ghosts,Dolly Alderton,"Alderton, Dolly",,"=""0241434548""","=""9780241434543""",4,3.88,Fig Tree,Hardcover,352,2020,2020,2023/06/18,2023/01/03,books-from-alex,books-from-alex (#12),read,,,,1,0
